group_id,group_name,group_memo,group_create_time,member_count,max_member_count,remark_name,group_id,user_id,nickname,card,sex,age,area,level,qq_level,join_time,last_sent_time,title_expire_time,unfriendly,card_changeable,is_robot,shut_up_timestamp,role,title
638037758,菜卡玩机 | Vegeca Mobi,,1657335035,1422,2000,,638037758,1839277381,A?T?O?N?E?M?E?N?T?,A?T?O?N?E?M?E?N?T?,unknown,0,,1,0,1657411286,1671627331,0,False,True,False,0,member,
638037758,菜卡玩机 | Vegeca Mobi,,1657335035,1422,2000,,638037758,1334892063,a08eea26,a08eea26,unknown,0,,1,0,1657785009,1692076533,0,False,True,False,0,admin,
638037758,菜卡玩机 | Vegeca Mobi,,1657335035,1422,2000,,638037758,1402915462,Funny mud go pee,Funny mud go pee,unknown,0,,1,0,1657430732,1667917465,0,False,True,False,0,member,
638037758,菜卡玩机 | Vegeca Mobi,,1657335035,1422,2000,,638037758,2742405085,?范有才????????,?范有才????????,unknown,0,,1,0,1657555914,1691915637,0,False,True,False,0,member,
638037758,菜卡玩机 | Vegeca Mobi,,1657335035,1422,2000,,638037758,875784592,夏天,夏天,unknown,0,,1,0,1657422392,1657422392,0,False,True,False,0,member,
638037758,菜卡玩机 | Vegeca Mobi,,1657335035,1422,2000,,638037758,230845294,卡卡,卡卡,unknown,0,,1,0,1657415338,1669430130,0,False,True,False,0,member,
638037758,菜卡玩机 | Vegeca Mobi,,1657335035,1422,2000,,638037758,2896078646,冬眠,冬眠,unknown,0,,1,0,1666324321,1735264963,0,False,True,False,0,member,
638037758,菜卡玩机 | Vegeca Mobi,,1657335035,1422,2000,,638037758,393202091,?,?,unknown,0,,1,0,1657448867,1682084827,0,False,True,False,0,member,
638037758,菜卡玩机 | Vegeca Mobi,,1657335035,1422,2000,,638037758,871823299,ZZH,ZZH,unknown,0,,1,0,1657559839,1657559839,0,False,True,False,0,member,
638037758,菜卡玩机 | Vegeca Mobi,,1657335035,1422,2000,,638037758,825615799,Kirito,Kirito,unknown,0,,1,0,1657440439,1708709221,0,False,True,False,0,member,
638037758,菜卡玩机 | Vegeca Mobi,,1657335035,1422,2000,,638037758,2546266124,THRELK,THRELK,unknown,0,,1,0,1657507151,1658162516,0,False,True,False,0,member,
638037758,菜卡玩机 | Vegeca Mobi,,1657335035,1422,2000,,638037758,516339733,等风来,等风来,unknown,0,,1,0,1657419419,1657419419,0,False,True,False,0,member,
638037758,菜卡玩机 | Vegeca Mobi,,1657335035,1422,2000,,638037758,1074923150,留白,留白,unknown,0,,1,0,1657472842,1659335162,0,False,True,False,0,member,
638037758,菜卡玩机 | Vegeca Mobi,,1657335035,1422,2000,,638037758,185058064,阿七,阿七,unknown,0,,1,0,1658070533,1658071050,0,False,True,False,0,member,
638037758,菜卡玩机 | Vegeca Mobi,,1657335035,1422,2000,,638037758,202317947,宅虎,宅虎,unknown,0,,1,0,1658157878,1658157878,0,False,True,False,0,member,
638037758,菜卡玩机 | Vegeca Mobi,,1657335035,1422,2000,,638037758,3453914121,烟雨江南,烟雨江南,unknown,0,,1,0,1657340585,1671751887,0,False,True,False,0,member,
638037758,菜卡玩机 | Vegeca Mobi,,1657335035,1422,2000,,638037758,3094274628,姐布林,丛雨绫,unknown,0,,1,0,1657633039,1693793521,0,False,True,False,0,member,
638037758,菜卡玩机 | Vegeca Mobi,,1657335035,1422,2000,,638037758,1803681087,Accelerator,Accelerator,unknown,0,,1,0,1657469315,1657548133,0,False,True,False,0,member,
638037758,菜卡玩机 | Vegeca Mobi,,1657335035,1422,2000,,638037758,997378061,阿,阿,unknown,0,,1,0,1657530560,1657530560,0,False,True,False,0,member,
638037758,菜卡玩机 | Vegeca Mobi,,1657335035,1422,2000,,638037758,1564594055,啊啵吃嘚呃咈咯,啊啵吃嘚呃咈咯,unknown,0,,1,0,1657412333,1657412333,0,False,True,False,0,member,
638037758,菜卡玩机 | Vegeca Mobi,,1657335035,1422,2000,,638037758,815295282,半生慌,半生慌,unknown,0,,1,0,1657509035,1657509035,0,False,True,False,0,member,
638037758,菜卡玩机 | Vegeca Mobi,,1657335035,1422,2000,,638037758,1594531868,　　　　　　　　,　　　　　　　　,unknown,0,,1,0,1657538667,1658744138,0,False,True,False,0,member,
638037758,菜卡玩机 | Vegeca Mobi,,1657335035,1422,2000,,638037758,2923743934,Desert-二十四节气,Desert-二十四节气,unknown,0,,1,0,1683432523,1683432523,0,False,True,False,0,member,
