group_id,group_name,group_memo,group_create_time,member_count,max_member_count,remark_name,group_id,user_id,nickname,card,sex,age,area,level,qq_level,join_time,last_sent_time,title_expire_time,unfriendly,card_changeable,is_robot,shut_up_timestamp,role,title
537393262,花椒の小窝,,1639289035,906,2000,,537393262,1416478399,爱看烟花的KJ?,爱看烟花的KJ?,unknown,0,,1,0,1728031941,1728031941,0,False,True,False,0,member,
537393262,花椒の小窝,,1639289035,906,2000,,537393262,1401683681,杭椒Rose,杭椒Rose,unknown,0,,1,0,1706703603,1706703603,0,False,True,False,0,member,
537393262,花椒の小窝,,1639289035,906,2000,,537393262,1223042067,CC,CC,unknown,0,,1,0,1707916955,1707917009,0,False,True,False,0,member,
537393262,花椒の小窝,,1639289035,906,2000,,537393262,1390096899,落痕luor,落痕luor,unknown,0,,1,0,1640698252,1721707556,0,False,True,False,0,member,
537393262,花椒の小窝,,1639289035,906,2000,,537393262,872928380,音丨HAT丶暮雨,没有中二病的奈亚子,unknown,0,,1,0,1640247856,1736159012,0,False,True,False,0,admin,奈子酱！?
537393262,花椒の小窝,,1639289035,906,2000,,537393262,3208276144,不爱说话的紫叶,不爱说话的紫叶,unknown,0,,1,0,1673266331,1730551445,0,False,True,False,0,member,
537393262,花椒の小窝,,1639289035,906,2000,,537393262,1427842715,歪比巴卜,歪比巴卜,unknown,0,,1,0,1735037098,1735041322,0,False,True,False,0,member,
537393262,花椒の小窝,,1639289035,906,2000,,537393262,1601633898,無極catcats,ccaatts,unknown,0,,1,0,1654504896,1733933089,0,False,True,False,0,member,
537393262,花椒の小窝,,1639289035,906,2000,,537393262,997369759,良有满穗为安,良有满穗为安,unknown,0,,1,0,1654402388,1654951343,0,False,True,False,0,member,
537393262,花椒の小窝,,1639289035,906,2000,,537393262,673697901,Nyaikoo,Nyaikoo,unknown,0,,1,0,1719063634,1735406825,0,False,True,False,0,member,
